,City Name,Cloudiness,Country Code,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
326,kuchera,12.0,in,2018-06-18 14:32:12,69.0,26.99,73.97,83.58,3.91
327,yerky,0.0,ua,2018-06-18 14:32:15,38.0,49.93,33.53,81.51,9.4
328,boa vista,40.0,br,2018-06-18 13:00:00,65.0,-8.8,13.26,80.6,11.41
329,bilibino,0.0,ru,2018-06-18 14:32:18,73.0,68.06,166.44,52.35,1.9
330,hambantota,48.0,lk,2018-06-18 14:32:23,95.0,6.12,81.12,81.69,15.66
331,bowen,0.0,au,2018-06-18 13:00:00,93.0,-20.01,148.25,46.4,8.05
332,saint-augustin,75.0,ca,2018-06-18 14:00:00,69.0,44.83,-0.61,73.4,6.93
333,rafsanjan,36.0,ir,2018-06-18 14:32:28,11.0,30.4,55.99,88.8,3.91
334,bayog,76.0,ph,2018-06-18 14:32:29,97.0,7.85,123.04,76.2,2.68
335,wuzhou,12.0,cn,2018-06-18 14:32:30,95.0,23.48,111.3,77.01,2.46
336,gat,0.0,ly,2018-06-18 14:32:32,45.0,14.69,-16.54,88.98,10.96
337,zheleznodorozhnyy,0.0,ru,2018-06-18 14:00:00,26.0,55.75,38.0,80.6,4.47
338,beringovskiy,44.0,ru,2018-06-18 14:32:35,100.0,63.05,179.32,36.96,3.58
339,okha,68.0,ru,2018-06-18 14:32:37,92.0,53.59,142.95,46.05,9.95
340,baykit,8.0,ru,2018-06-18 14:32:38,81.0,61.68,96.39,64.5,2.57
341,kyshtovka,92.0,ru,2018-06-18 14:32:42,67.0,56.56,76.62,62.16,4.59
342,borba,0.0,br,2018-06-18 14:00:00,18.0,38.81,-7.46,98.6,10.29
343,wattegama,100.0,lk,2018-06-18 14:32:44,97.0,7.35,80.68,72.51,5.37
344,pochutla,90.0,mx,2018-06-18 13:45:00,78.0,15.74,-96.47,77.0,7.94
345,valdivia,90.0,cl,2018-06-18 14:00:00,100.0,-39.81,-73.25,48.2,4.59
346,mezen,0.0,ru,2018-06-18 14:32:52,40.0,65.85,44.24,70.08,6.6
347,la paz,12.0,mx,2018-06-18 14:32:53,100.0,11.35,122.06,82.41,7.27
348,turukhansk,92.0,ru,2018-06-18 14:32:54,62.0,65.8,87.96,68.01,6.6
349,shubarshi,0.0,kz,2018-06-18 14:32:55,32.0,48.59,57.19,74.4,8.61
350,uvalde,90.0,us,2018-06-18 14:20:00,69.0,29.21,-99.79,82.4,4.7
351,tateyama,36.0,jp,2018-06-18 14:32:58,91.0,36.66,137.31,56.67,1.34
352,skibbereen,75.0,ie,2018-06-18 14:00:00,82.0,51.55,-9.27,66.2,18.34
353,yar-sale,92.0,ru,2018-06-18 14:33:00,86.0,66.83,70.83,47.31,8.16
354,rocha,0.0,uy,2018-06-18 14:33:02,77.0,-34.48,-54.34,54.78,5.82
355,kirakira,80.0,sb,2018-06-18 14:33:03,100.0,-10.46,161.92,77.46,9.62
356,joshimath,8.0,in,2018-06-18 14:33:04,100.0,30.57,79.57,33.36,0.67
357,gobabis,0.0,na,2018-06-18 14:33:07,19.0,-22.45,18.97,74.76,5.37
358,evensk,88.0,ru,2018-06-18 14:33:08,100.0,61.92,159.24,41.73,6.93
359,pevek,20.0,ru,2018-06-18 14:33:09,79.0,69.7,170.27,33.81,9.4
360,nhulunbuy,90.0,au,2018-06-18 14:00:00,78.0,-12.18,136.78,75.2,11.41
361,avera,40.0,pf,2018-06-18 13:55:00,74.0,33.19,-82.53,82.4,4.7
362,sivaki,12.0,ru,2018-06-18 14:33:13,79.0,52.63,126.75,54.78,5.37
363,lata,0.0,sb,2018-06-18 14:33:14,100.0,30.78,78.62,57.3,0.0
364,otaru,24.0,jp,2018-06-18 14:33:16,95.0,43.18,140.99,55.05,5.59
365,ozernovskiy,36.0,ru,2018-06-18 14:33:17,100.0,51.5,156.52,36.51,4.03
366,talnakh,48.0,ru,2018-06-18 14:33:18,45.0,69.49,88.39,68.37,9.62
367,george,40.0,za,2018-06-18 14:00:00,78.0,6.63,3.35,82.4,5.82
368,kupang,0.0,id,2018-06-18 14:33:21,86.0,-10.16,123.6,78.99,18.23
369,lahaina,1.0,us,2018-06-18 13:56:00,82.0,20.87,-156.68,73.4,10.29
370,hasaki,20.0,jp,2018-06-18 14:00:00,93.0,35.73,140.83,66.2,8.05
371,myitkyina,20.0,mm,2018-06-18 14:33:27,96.0,25.38,97.4,79.35,1.68
372,deputatskiy,0.0,ru,2018-06-18 14:33:28,55.0,69.3,139.9,54.96,4.36
373,salto,0.0,uy,2018-06-18 13:00:00,87.0,-31.39,-57.96,46.4,6.93
374,madras,40.0,in,2018-06-18 14:15:00,82.0,44.63,-121.13,57.2,8.72
375,adet,68.0,et,2018-06-18 14:33:32,67.0,11.26,37.49,69.09,3.91
376,oksfjord,0.0,no,2018-06-18 13:50:00,48.0,70.24,22.35,69.8,8.05
377,necochea,0.0,ar,2018-06-18 14:33:34,73.0,-38.55,-58.74,55.41,12.97
378,alofi,0.0,nu,2018-06-18 13:00:00,83.0,-19.06,-169.92,71.6,8.05
379,scarborough,0.0,gb,2018-06-18 13:50:00,49.0,54.28,-0.41,69.8,13.87
380,raipur,44.0,in,2018-06-18 14:32:13,83.0,21.24,81.63,79.26,9.95
381,dongli,75.0,cn,2018-06-18 14:00:00,100.0,24.18,117.61,78.8,4.47
