Opening,Opening,Title
O C T O B E R,13,Professor Marston and the Wonder Women
O C T O B E R,13,Blood Money
O C T O B E R,20,Geostorm
O C T O B E R,20,Only the Brave
O C T O B E R,20,Boo 2! A Madea Halloween
O C T O B E R,20,Same Kind of Different as Me
O C T O B E R,20,Leatherface
O C T O B E R,20,Wonderstruck
O C T O B E R,20,The Killing of a Sacred Deer
O C T O B E R,27,Thank You for Your Service
O C T O B E R,27,Suburbicon
O C T O B E R,27,Jigsaw
O C T O B E R,27,Novitiate
O C T O B E R,27,All I See Is You
O C T O B E R,28,Amityville: The Awakening
N O V E M B E R,3,Thor: Ragnarok
N O V E M B E R,3,A Bad Moms Christmas
N O V E M B E R,3,Last Flag Flying
N O V E M B E R,3,Lady Bird
N O V E M B E R,10,Murder on the Orient Express
N O V E M B E R,10,Daddy's Home 2
N O V E M B E R,10,LBJ
N O V E M B E R,10,"Three Billboards Outside Ebbing, Missouri"
N O V E M B E R,10,Mayhem
N O V E M B E R,17,Justice League
N O V E M B E R,17,The Star
N O V E M B E R,17,Wonder
N O V E M B E R,17,Cook Off!
N O V E M B E R,17,Mr. Roosevelt
N O V E M B E R,17,"Roman J. Israel, Esq."
N O V E M B E R,22,Coco
N O V E M B E R,22,Darkest Hour
N O V E M B E R,22,The Man Who Invented Christmas
N O V E M B E R,24,Call Me by Your Name
D E C E M B E R,1,The Disaster Artist
D E C E M B E R,1,The Shape of Water
D E C E M B E R,1,Wonder Wheel
D E C E M B E R,8,"I, Tonya"
D E C E M B E R,8,Just Getting Started
D E C E M B E R,15,Star Wars: The Last Jedi
D E C E M B E R,15,Ferdinand
D E C E M B E R,15,Beyond Skyline
D E C E M B E R,20,Jumanji: Welcome to the Jungle
D E C E M B E R,20,The Greatest Showman
D E C E M B E R,22,Pitch Perfect 3
D E C E M B E R,22,Downsizing
D E C E M B E R,22,Father Figures
D E C E M B E R,22,The Post
D E C E M B E R,22,Bright
D E C E M B E R,22,Crooked House
D E C E M B E R,22,Hostiles
D E C E M B E R,25,All the Money in the World
D E C E M B E R,25,Molly's Game
D E C E M B E R,25,Phantom Thread
